ident,lat,lon,structure_type
NRL307,37.34643,-86.12259,Plastic
NRL-NOID-001,37.2945402,-86.216448,Brush
NRL-NOID-002,37.2947319,-86.2162979,Brush
NRL-NOID-003,37.2942601,-86.2164391,Spider Hump
NRL-NOID-004,37.2941339,-86.2164823,Spider Hump
NRL-NOID-005,37.2940777,-86.2164924,Spider Hump
NRL-NOID-006,37.2940198,-86.2165252,Spider Hump
NRL-NOID-007,37.2939806,-86.2165246,Spider Hump
NRL-NOID-008,37.294023,-86.2164498,Spider Hump
NRL-NOID-009,37.293891,-86.2165189,Spider Hump
NRL-NOID-010,37.2938219,-86.2165202,Spider Hump
NRL-NOID-011,37.2943201,-86.2160505,Spider Hump
NRL-NOID-012,37.3099669,-86.2319322,Plastic
NRL-NOID-013,37.3098602,-86.232246,Plastic
NRL-NOID-014,37.3094965,-86.2321917,Plastic
NRL-NOID-015,37.3098586,-86.2321772,Christmas Trees
NRL-NOID-016,37.3099109,-86.2321235,Christmas Trees
NRL-NOID-017,37.294316,-86.216509,Rock
NRL-NOID-018,37.293509,-86.216327,Christmas Trees
NRL-NOID-019,37.293463,-86.216286,Christmas Trees
NRL-NOID-020,37.292291,-86.216755,Christmas Trees
NRL-NOID-021,37.292454,-86.216874,Christmas Trees
NRL-NOID-022,37.2925884,-86.2169275,Christmas Trees
NRL-NOID-023,37.2927655,-86.2168873,Christmas Trees
NRL-NOID-024,37.308943,-86.231545,Christmas Trees
NRL-NOID-025,37.309379,-86.231876,Christmas Trees
NRL-NOID-026,37.309359,-86.231962,Christmas Trees
NRL-NOID-027,37.309432,-86.232033,Christmas Trees
NRL-NOID-028,37.309565,-86.232095,Christmas Trees
NRL-NOID-029,37.309573,-86.232185,Christmas Trees
NRL-NOID-030,37.309718,-86.23216,Christmas Trees
NRL-NOID-031,37.364386,-86.219277,Plastic
NRL-NOID-032,37.364311,-86.219137,Plastic
NRL-NOID-033,37.364334,-86.219075,Plastic
NRL-NOID-034,37.3643643,-86.2190664,Reef Ball
NRL-NOID-035,37.3645538,-86.2191617,Christmas Trees
NRL-NOID-036,37.297614,-86.2153138,Reef Ball
NRL-NOID-037,37.32332,-86.13369,Christmas Trees
NRL-NOID-038,37.323632,-86.132615,Christmas Trees
NRL-NOID-039,37.32363,-86.13248,Christmas Trees
NRL-NOID-040,37.32363,-86.132209,Christmas Trees
