lat,lon,dominant_class,wooded_frac,cleared_frac,water_frac,n_px
37.352107,-86.215778,cleared,0.0,1.0,0.0,615
37.352108,-86.21516,cleared,0.0,1.0,0.0,672
37.352108,-86.214541,cleared,0.0,1.0,0.0,474
37.352108,-86.213922,cleared,0.0,1.0,0.0,729
37.352108,-86.213304,cleared,0.0,0.983,0.017,699
37.352108,-86.212685,cleared,0.319,0.646,0.035,517
37.352108,-86.212067,wooded,0.978,0.022,0.0,631
37.352108,-86.211448,wooded,1.0,0.0,0.0,712
37.352109,-86.166907,cleared,0.0,1.0,0.0,725
37.352109,-86.166288,cleared,0.0,1.0,0.0,579
37.352109,-86.164432,cleared,0.0,1.0,0.0,452
37.352108,-86.163813,cleared,0.0,1.0,0.0,634
37.352107,-86.158864,cleared,0.0,1.0,0.0,578
37.351614,-86.213922,cleared,0.0,1.0,0.0,681
37.351614,-86.213304,cleared,0.0,1.0,0.0,729
37.351614,-86.212685,cleared,0.004,0.996,0.0,722
37.351614,-86.212066,cleared,0.438,0.556,0.005,577
37.351615,-86.168144,cleared,0.0,1.0,0.0,643
37.351615,-86.167525,cleared,0.0,1.0,0.0,568
37.351615,-86.165669,cleared,0.0,0.897,0.103,535
37.351613,-86.157009,cleared,0.177,0.823,0.0,470
37.35161,-86.145873,wooded,0.666,0.301,0.033,479
37.351115,-86.231243,cleared,0.079,0.815,0.105,493
37.35112,-86.213922,cleared,0.0,1.0,0.0,536
37.35112,-86.213303,cleared,0.0,1.0,0.0,729
37.35112,-86.212685,cleared,0.0,1.0,0.0,729
37.351121,-86.212066,cleared,0.041,0.956,0.003,686
37.351122,-86.170619,cleared,0.0,1.0,0.0,667
37.351122,-86.17,cleared,0.0,1.0,0.0,725
37.351122,-86.169381,cleared,0.286,0.714,0.0,584
37.351121,-86.16567,cleared,0.0,1.0,0.0,624
37.351121,-86.163195,cleared,0.132,0.868,0.0,660
37.35112,-86.162576,cleared,0.119,0.881,0.0,578
37.351117,-86.148348,wooded,0.988,0.012,0.0,566
37.350626,-86.213303,cleared,0.0,1.0,0.0,725
37.350627,-86.212685,cleared,0.0,1.0,0.0,729
37.350627,-86.212066,cleared,0.0,1.0,0.0,718
37.350627,-86.210829,wooded,1.0,0.0,0.0,620
37.350628,-86.172475,cleared,0.0,1.0,0.0,622
37.350628,-86.167526,cleared,0.211,0.789,0.0,635
37.350627,-86.166907,cleared,0.0,1.0,0.0,729
37.350627,-86.166288,cleared,0.0,1.0,0.0,630
37.350627,-86.164432,cleared,0.0,1.0,0.0,729
37.350627,-86.163814,wooded,0.506,0.494,0.0,397
37.350626,-86.161958,cleared,0.153,0.815,0.032,464
37.350626,-86.160102,cleared,0.0,1.0,0.0,642
37.350626,-86.159484,cleared,0.0,1.0,0.0,727
37.350626,-86.158865,cleared,0.0,1.0,0.0,729
37.350626,-86.158246,cleared,0.0,1.0,0.0,729
37.350625,-86.157628,cleared,0.0,1.0,0.0,726
37.350623,-86.148967,cleared,0.0,1.0,0.0,542
37.350623,-86.148348,cleared,0.041,0.959,0.0,605
37.350623,-86.14773,cleared,0.059,0.941,0.0,624
37.350622,-86.147111,cleared,0.009,0.991,0.0,634
37.350622,-86.146493,cleared,0.0,0.998,0.002,609
37.350133,-86.213303,cleared,0.0,0.995,0.005,645
37.350133,-86.212685,cleared,0.0,0.92,0.08,646
37.350133,-86.212066,cleared,0.005,0.934,0.061,625
37.350133,-86.211447,wooded,0.87,0.116,0.014,584
37.350133,-86.210829,wooded,1.0,0.0,0.0,539
37.350133,-86.21021,wooded,1.0,0.0,0.0,615
37.350134,-86.171856,cleared,0.0,1.0,0.0,632
37.350134,-86.171237,cleared,0.314,0.686,0.0,497
37.350134,-86.167526,cleared,0.144,0.856,0.0,639
37.350134,-86.166907,cleared,0.0,1.0,0.0,729
37.350133,-86.166288,cleared,0.0,1.0,0.0,721
37.350133,-86.16567,cleared,0.0,1.0,0.0,589
